organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,task_is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-03 04:38:00,2799021,1SPT,2537854,t,RBGU,Ring-billed Gull,LARUS DELAWARENSIS,Aves,552.00,600.82,25.00,0,12000,5382386,1,Song,1,,t,1,Siena Blier,4251,4251,f,75,31,,1514,166565,171051,34,75,31,,1514,166962,171112,33,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537854,https://portal.wildtrax.ca/media/aru_tag_clips/1e/ad/a3/33-2ca6-435b-9889-34792c7d5438/d1825c06b37a4a76945b4688ee2e3056.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/1e/ad/a3/33-2ca6-435b-9889-34792c7d5438/088cd513ea194300b0ec887a524279c9.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-03 05:38:00,2799020,1SPT,2537853,t,EUST,European Starling,STURNUS VULGARIS,Aves,108.00,600.82,21.00,0,12000,5382334,1,Song,1,5,t,1,Siena Blier,4251,4892,f,13,47,,1569,188293,210449,54,13,47,,1569,188293,210175,55,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537853,https://portal.wildtrax.ca/media/aru_tag_clips/98/2a/58/37-1b54-44d5-8d3e-9ebb0478904f/17abd5861f61460a906276e7a13953bb.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/98/2a/58/37-1b54-44d5-8d3e-9ebb0478904f/b590e4ad98354cb1972b1b22579d9977.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-03 07:38:00,2799023,1SPT,2537856,t,NHWR,Northern House Wren,TROGLODYTES AEDON,Aves,282.00,600.82,3.00,0,12000,5382347,1,Song,1,1,t,1,Siena Blier,4251,4251,f,94,47,,357,335999,326752,47,94,47,,357,335846,326324,48,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537856,https://portal.wildtrax.ca/media/aru_tag_clips/1c/1d/4b/e3-01c3-46cc-8394-88b67f5ae66c/c0c9360c6e8d420fb490eede135200fa.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/1c/1d/4b/e3-01c3-46cc-8394-88b67f5ae66c/7ea516c4f3c841e381fd121d1b162e8a.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-03 07:38:00,2799023,1SPT,2537856,t,PHVI,Philadelphia Vireo,VIREO PHILADELPHICUS,Aves,296.00,600.82,19.00,0,12000,5382373,1,Song,1,1,t,1,Siena Blier,4251,4892,f,90,76,,406,353912,416016,62,90,76,,406,353943,415649,63,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537856,https://portal.wildtrax.ca/media/aru_tag_clips/1c/1d/4b/e3-01c3-46cc-8394-88b67f5ae66c/67fbbcb326ec4be3abab9828cd0d15f7.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/1c/1d/4b/e3-01c3-46cc-8394-88b67f5ae66c/c86d4c7ddfb94b739180c1b6fa99062e.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-04 05:38:00,2799025,1SPT,2537858,t,YEWA,Yellow Warbler,SETOPHAGA PETECHIA,Aves,78.00,600.82,13.00,0,12000,5382421,1,Song,1,,t,1,Siena Blier,4251,4251,f,22,98,,400,184326,188690,49,22,98,,400,184723,189178,46,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537858,https://portal.wildtrax.ca/media/aru_tag_clips/e8/b6/dd/e4-b04e-40a0-93e0-1793f45f674e/6abba274198040bcbbb9a130410cd30a.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/e8/b6/dd/e4-b04e-40a0-93e0-1793f45f674e/ea119bcc47dd43f187b907a881c926bf.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-04 05:38:00,2799025,1SPT,2537858,t,RBGU,Ring-billed Gull,LARUS DELAWARENSIS,Aves,222.00,600.82,13.00,0,12000,5382387,1,Song,1,,t,1,Siena Blier,4251,4251,f,87,6,,390,219299,191956,18,87,6,,390,219299,191925,18,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537858,https://portal.wildtrax.ca/media/aru_tag_clips/e8/b6/dd/e4-b04e-40a0-93e0-1793f45f674e/8aa67ff94bd64b7ea8067cbe9d3d8b9c.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/e8/b6/dd/e4-b04e-40a0-93e0-1793f45f674e/50b7ffe57ecc4acf8b8a3f1d54a34a38.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-04 05:38:00,2799025,1SPT,2537858,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,364.00,600.82,23.00,0,12000,5382405,1,Song,1,5,t,1,Siena Blier,4251,4892,f,3,44,,490,236664,192383,52,3,44,,490,236816,192169,51,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537858,https://portal.wildtrax.ca/media/aru_tag_clips/e8/b6/dd/e4-b04e-40a0-93e0-1793f45f674e/df9ed1acffb944da9d970fbaf2a5286e.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/e8/b6/dd/e4-b04e-40a0-93e0-1793f45f674e/53849a38ba0545c1aef0dcb8e07c1f05.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-04 07:38:00,2799032,1SPT,2537865,t,NAWA,Nashville Warbler,LEIOTHLYPIS RUFICAPILLA,Aves,320.00,600.82,3.00,0,12000,5382360,1,Song,1,1,t,1,Siena Blier,4251,4251,f,96,75,,768,260254,218689,69,96,75,,768,260284,218719,69,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537865,https://portal.wildtrax.ca/media/aru_tag_clips/a6/3d/9c/09-6afd-4310-90f5-3bd7ee6a13e1/b801f8eb13974ee5954c576b6e9f47c7.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/a6/3d/9c/09-6afd-4310-90f5-3bd7ee6a13e1/dec2677357144ef0bb01abee0d542196.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-04 07:38:00,2799032,1SPT,2537865,t,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,Aves,494.00,600.82,9.00,0,12000,5382426,1,Song,1,1,t,1,Siena Blier,4251,4892,f,4,26,,947,223755,224670,97,4,26,,947,223663,224945,96,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537865,https://portal.wildtrax.ca/media/aru_tag_clips/a6/3d/9c/09-6afd-4310-90f5-3bd7ee6a13e1/1058c2c1e63e42cdb0fa161c301996bd.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/a6/3d/9c/09-6afd-4310-90f5-3bd7ee6a13e1/c396d5cc41944a0e9699d919d102a4b1.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-04 08:38:00,2799033,1SPT,2537866,t,EUST,European Starling,STURNUS VULGARIS,Aves,144.00,600.82,29.00,0,12000,5382332,1,Song,1,5,t,1,Siena Blier,4251,4892,f,52,12,,789,613525,429871,24,52,12,,789,613251,429413,25,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537866,https://portal.wildtrax.ca/media/aru_tag_clips/d7/c2/f4/4c-46f7-47f3-9102-51655af20b04/094d2f34b698461bbe6783e30c485f68.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/d7/c2/f4/4c-46f7-47f3-9102-51655af20b04/a51c70a2e05e4ba79eba3642acfe3c73.flac
