fid,genus,species,cultivar,dbh,street,park,id,fullname,Site_1,Present,dbh_2025,height2025,Measured,Comments,Measured_height,Measured_DBH
10120,Acer,saccharum,,40,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10531",Acer saccharum,SOEU-2,,,,,,,
10121,Acer,saccharum,,29,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10532",Acer saccharum,SOEU-2,,,,,,,
10122,Acer,saccharinum,,28,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10533",Acer saccharinum,SOEU-2,,,,,,,
10123,Acer,rubrum,,10,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10534",Acer rubrum,SOEU-2,,,,,,,
10124,Acer,nigrum,,62,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10535",Acer nigrum,SOEU-2,,,,,,,
10125,Tilia,cordata,,26,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10536",Tilia cordata,SOEU-2,,,,,,,
10126,Tilia,cordata,,36,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10537",Tilia cordata,SOEU-2,,,,,,,
10127,Tilia,cordata,,46,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10538",Tilia cordata,SOEU-2,,,,,,,
10128,Tilia,cordata,,34,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10539",Tilia cordata,SOEU-2,,,,,,,
10129,Tilia,cordata,,41,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10540",Tilia cordata,SOEU-2,,,,,,,
10130,Tilia,cordata,,28,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10541",Tilia cordata,SOEU-2,,,,,,,
10131,Tilia,cordata,,37,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10542",Tilia cordata,SOEU-2,,,,,,,
10545,Celtis,occidentalis,,14,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10986",Celtis occidentalis,SOEU-2,,,,,,,
10546,Picea,pungens,,40,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10987",Picea pungens,SOEU-2,,,,,,,
10547,Ulmus,pumila,,11,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10988",Ulmus pumila,SOEU-2,,,,,,,
10548,Acer,negundo,,8,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10989",Acer negundo,SOEU-2,,,,,,,
10549,Ulmus,pumila,,10,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10990",Ulmus pumila,SOEU-2,,,,,,,
10550,Picea,glauca,,32.5,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10991",Picea glauca,SOEU-2,,,,,,,
10551,Picea,glauca,,24,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10992",Picea glauca,SOEU-2,,,,,,,
10552,Tilia,cordata,,33.6,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10993",Tilia cordata,SOEU-2,,,,,,,
10553,Syringa,reticulata,,11,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10994",Syringa reticulata,SOEU-2,,,,,,,
10554,Betula,populifolia,,19.7,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10995",Betula populifolia,SOEU-2,,,,,,,
10555,Picea,pungens,,44,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10996",Picea pungens,SOEU-2,,,,,,,
10556,Picea,pungens,,26,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10997",Picea pungens,SOEU-2,,,,,,,
10557,Malus,sp.,,30,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10998",Malus sp,SOEU-2,,,,,,,
10558,Malus,sp.,,30,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"10999",Malus sp,SOEU-2,,,,,,,
10559,Malus,sp.,,27,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"11000",Malus sp,SOEU-2,,,,,,,
10560,Malus,sp.,,31,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"11001",Malus sp,SOEU-2,,,,,,,
10561,Malus,sp.,,31,,CENTRE CULTUREL ET COMMUNAUTAIRE CARTIERVILLE,"11002",Malus sp,SOEU-2,,,,,,,
18115,Pinus,nigra,austriaca,5,,"PELICAN, LE","19043",Pinus nigra,(PELI-1),,,,,,,
18116,Pinus,nigra,austriaca,5,,"PELICAN, LE","19044",Pinus nigra,(PELI-1),,,,,,,
18117,Pinus,nigra,austriaca,5,,"PELICAN, LE","19045",Pinus nigra,(PELI-2),,,,,,,
18118,Pinus,nigra,austriaca,5,,"PELICAN, LE","19046",Pinus nigra,(PELI-2),,,,,,,
18119,Pinus,nigra,austriaca,5,,"PELICAN, LE","19047",Pinus nigra,(PELI-2),,,,,,,
18120,Carya,cordiformis,,5,,"PELICAN, LE","19048",Carya cordiformis,(PELI-1),,,,,,,
18121,Alnus,glutinosa,,6,,"PELICAN, LE","19049",Alnus glutinosa,(PELI-1),,,,,,,
18122,Alnus,glutinosa,,10,,"PELICAN, LE","19050",Alnus glutinosa,(PELI-1),,,,,,,
18123,Phellodendron,amurensis,,5,,"PELICAN, LE","19051",Phellodendron amurense,(PELI-2),,,,,,,
18237,Alnus,glutinosa,,11,,"PELICAN, LE","19166",Alnus glutinosa,(PELI-1),,,,,,,
