fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH,species_clean
1,,VANI-1,"1.4",2.2,(ACRU),,,,Soverdi,true,true,Acer rubrum
2,,VANI-1,"1.3",2.3,(QUAL),,,,Soverdi,true,true,Quercus alba
3,,VANI-1,"3",3.5,(BEPA),,,,Soverdi,true,true,Betula papyrifera
4,,VANI-1,"1.2",2.1,(ACPE),,,,Soverdi,true,true,Acer pensylvanicum
5,,VANI-1,"2.1",2.7,(CEOC),,,,Soverdi,true,true,Celtis occidentalis
6,,VANI-1,"1.9",2.25,(ACRU),,,,Soverdi,true,true,Acer rubrum
7,,VANI-1,"1.6",2.7,(PODE),,,,Soverdi,true,true,Populus deltoides
8,,VANI-1,"2.7",3,(CAOV),,,,Soverdi,true,true,Carya ovata
9,,VANI-1,"1.7",3.1,(BEPA),,,,Soverdi,true,true,Betula papyrifera
10,,VANI-1,"1.3",2.28,(ACRU),Sick leaves,,,Soverdi,true,true,Acer rubrum
11,,VANI-1,"1.3",2.5,(PRVI),,,,Soverdi,true,true,Prunus virginiana
12,,VANI-1,"1",2.04,(Pine sp),Prickly!,,,Soverdi,true,false,Pine sp
13,,VANI-1,"1.5",2.7,(PRVI),,,,Soverdi,true,true,Prunus virginiana
14,,VANI-1,"1.9",2.4,(CEOC),,,,Soverdi,true,true,Celtis occidentalis
15,,VANI-1,"2.3",3.2,(BEPA),,,,Soverdi,true,true,Betula papyrifera
16,,VANI-1,"1.5",2.04,(Pine sp),,,,Soverdi,true,true,Pine sp
17,,VANI-1,"1",2,Sorbus aucuparia,Unhealthy leaves,,,Soverdi,,,Sorbus aucuparia
18,,VANI-1,"2.9",2.7,(PRSE),,,,Soverdi,true,true,Prunus serotina
19,,VANI-1,"1.8",2.6,(PODE),,,,Soverdi,true,true,Populus deltoides
20,,VANI-1,"1.9",2.9,(PODE),,,,Soverdi,true,true,Populus deltoides
21,,VANI-1,"1",2.74,Sorbus aucuparia,Sad leaves,,,Soverdi,true,true,Sorbus aucuparia
22,,VANI-1,"1.2",2,(QUAL),,,,Soverdi,true,true,Quercus alba
23,,VANI-1,"1.4",2.16,(CEOC),,,,Soverdi,true,true,Celtis occidentalis
24,,VANI-1,"1.5",2.6,(PRVI),,,,Soverdi,true,true,Prunus virginiana
25,,VANI-1,"1.6,1",2.98,(PODE),,,,Soverdi,true,true,Populus deltoides
26,,VANI-1,"2.7",3.1,(PRSE),,,,Soverdi,true,true,Prunus serotina
27,,VANI-1,"1",2.1,Sorbus aucuparia,,,,Soverdi,true,true,Sorbus aucuparia
28,,VANI-1,"1",2.1,Sorbus aucuparia,,,,Soverdi,true,true,Sorbus aucuparia
29,,VANI-1,"1.4",2.64,(PODE),,,,Soverdi,true,true,Populus deltoides
30,,VANI-1,"2.2",3.2,(BEPA),,,,Soverdi,true,true,Betula papyrifera
31,,VANI-1,"1.8",3,(PRVI),,,,Soverdi,true,true,Prunus virginiana
32,,VANI-1,"1.5",2.66,(CEOC),,,,Soverdi,true,true,Celtis occidentalis
33,,VANI-1,"1.7",2.08,(ACRU),,,,Soverdi,true,true,Acer rubrum
34,,VANI-1,"2.2",2.5,(CAOV),,,,Soverdi,true,true,Carya ovata
35,,VANI-1,"1.5,1,0.5,0.5",2.94,(PODE),,,,Soverdi,,,Populus deltoides
36,,VANI-1,"1,0.5",2.16,Sorbus aucuparia,,,,Soverdi,true,true,Sorbus aucuparia
37,,VANI-1,"1.9",3.04,(PRVI),,,,Soverdi,true,true,Prunus virginiana
38,,VANI-1,"1.2",2.4,(ACPE),,,,Soverdi,true,true,Acer pensylvanicum
