fid,idvegetal,projet,site,entiteadmi,reseau,noevenemen,typeevenem,annee,dateprevue,genre,nomespece,cultivar,dhs,hauteur,formatpot,lat,lon,Present,Site_1,dbh_2025,height2025,Comments,Measured_height,Measured_DBH
"1","48562",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2021-1423-22032000000,plantation,"2021",2021-09-12T20:00:00.000,Populus,deltoides,,"0","200",5gal,"45.457824399","-73.635051527",Absent,LOYO-1,,,,,
"2","61616",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Acer,saccharinum,,"0","170",5gal,"45.458011402","-73.635082709",Present,LOYO-1,"4.5",5.5,,"1","1"
"3","61989",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Quercus,rubra,,"0","250",7gal,"45.458118605","-73.635018215",Absent,LOYO-1,,,,,
"4","62263",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Pinus,banksiana,,"30","200",3g,"45.457931905","-73.634482286",Present,LOYO-1,"2.5",2.7,,"1","1"
"5","62946",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Amelanchier,canadensis,,"0","180",5gal,"45.457882369","-73.63479499",Absent,LOYO-1,,,,,
"6","63083",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Amelanchier,canadensis,,"0","180",5gal,"45.457905394","-73.634475544",Absent,LOYO-1,,,,,
"7","63257",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Gymnocladus,dioicus,,"0","175",7gal,"45.457731757","-73.635030013",Present,LOYO-1,"4.8",2.3,,"1","1"
"8","65343",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Pinus,banksiana,,"30","200",3g,"45.457944733","-73.634777581",Absent,LOYO-1,,,,,
"9","66087",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Gymnocladus,dioicus,,"0","175",7gal,"45.457979087","-73.635046455",Absent,LOYO-1,,,,,
"10","66640",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Quercus,rubra,,"0","250",7gal,"45.457913049","-73.634395673",Absent,LOYO-1,,,,,
"11","66976",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Cornus,alternifolia,,"0","175",3g,"45.457792449","-73.634980314",Absent,LOYO-1,,,,,
"12","69297",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Cornus,alternifolia,,"0","175",3g,"45.457818574","-73.635026689",Absent,LOYO-1,,,,,
"13","69324",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Betula,alleghaniensis,,"0","175",5gal,"45.4579179","-73.634766178",Absent,LOYO-1,,,,,
"14","69366",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Quercus,rubra,,"0","250",7gal,"45.457878859","-73.634623094",Present,LOYO-1,"3.45",3.1,,"1","1"
"15","70525",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Ostrya,virginiana,,"0","200",5gal,"45.457759988","-73.634897334",Absent,LOYO-1,,,,,
"16","71103",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Carpinus,caroliniana,,"0","200",5gal,"45.458010154","-73.634976827",Absent,LOYO-1,,,,,
"17","72389",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Cornus,alternifolia,,"0","175",3g,"45.457684263","-73.635027126",Absent,LOYO-1,,,,,
"18","73657",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,pensylvanicum,,"30","200",7gal,"45.457794046","-73.635086436",Absent,LOYO-1,,,,,
"19","73920",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharum,,"30","350",7gal,"45.457790963","-73.634929354",Present,LOYO-1,"5.8",3,,"1","1"
"20","74113",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,pensylvanicum,,"30","200",7gal,"45.457956966","-73.634551638",Present,LOYO-1,"4.9",2.4,,"1","1"
"21","74399",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457684232","-73.635027131",Absent,LOYO-1,,,,,
"22","74425",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457792835","-73.63498025",Present,LOYO-1,"5",3.1,,"1","1"
"23","74524",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juglans,cinerea,,"35","200",10gal,"45.457612612","-73.635125439",Absent,LOYO-1,,,,,
"24","74545",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457818211","-73.635026714",Present,LOYO-1,"6.4, 4.8, 3.8",3.7,,"1","1"
"25","74552",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Rhus,typhina,,"0","175",7gal,"45.457970926","-73.63458329",Absent,LOYO-1,,,,,
"26","74902",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457883618","-73.634699898",Present,LOYO-1,"4.7",2.3,,"1","1"
"27","74930",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457641539","-73.63504694",Absent,LOYO-1,,,,,
"28","74955",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Abies,balsamea,,"40","175",7gal,"45.457787721","-73.635036618",Present,LOYO-1,"4.3",2.2,,"1","1"
"29","75355",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457673803","-73.634977736",Absent,LOYO-1,,,,,
"30","75437",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"15","125",5g,"45.457945463","-73.634777628",Absent,LOYO-1,,,,,
"31","75538",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Rhus,typhina,,"0","175",7gal,"45.45798976","-73.634602257",Absent,LOYO-1,,,,,
"32","75583",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Pinus,banksiana,,"30","175",7gal,"45.457755206","-73.635091163",Absent,LOYO-1,,,,,
"33","75754",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,papyrifera,,"30","300",10gal,"45.457895331","-73.63443611",Present,LOYO-1,"7.6",4.6,,"1","1"
"34","75979",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharum,,"30","350",7gal,"45.457846013","-73.63468268",Present,LOYO-1,"7",4.2,,"1","1"
"35","76071",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Larix,laricina,,"15","175",7gal,"45.457938347","-73.634569456",Present,LOYO-1,"17.7, 3.5,2.9",7.6,,"1","1"
"36","76100",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.457765701","-73.634986341",Present,LOYO-1,"4.7",3.5,,"1","1"
"37","76227",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.45787945","-73.63462328",Present,LOYO-1,"4,7",2.4,,,
"38","76285",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"35","200",15g,"45.457716618","-73.635094197",Absent,LOYO-1,,,,,
"39","76730",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.458065326","-73.634791797",Absent,LOYO-1,,,,,
"40","76775",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"15","125",5g,"45.458088282","-73.635116917",Absent,LOYO-1,,,,,
"41","76818",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,alleghaniensis,,"40","200",10gal,"45.457687176","-73.635085705",Absent,LOYO-1,,,,,
"42","76831",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,pensylvanicum,,"30","200",7gal,"45.457950298","-73.635055629",Absent,LOYO-1,,,,,
"43","76874",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Pinus,strobus,,"0","100",5gal,"45.457952518","-73.634834677",Present,LOYO-1,"12.1, 7.9",7.8,,,
"44","77104",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.457816046","-73.635089821",Present,LOYO-1,"7.2",4.7,,"1","1"
"45","77110",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharinum,,"30","300",7gal,"45.457822992","-73.634978953",Absent,LOYO-1,,,,,
"46","77286",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,alleghaniensis,,"40","200",10gal,"45.458096779","-73.635066423",Absent,LOYO-1,,,,,
"47","77407",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,papyrifera,,"30","300",10gal,"45.457918077","-73.634766264",Absent,LOYO-1,,,,,
"48","77455",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457913045","-73.634395451",Present,LOYO-1,"6.5",4.3,,"1","1"
"49","78065",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharinum,,"30","300",7gal,"45.457821882","-73.634741875",Absent,LOYO-1,,,,,
