fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH
"1",,VANI-1,"1.4",2.2,(ACRU),,,,Soverdi,true,true
"2",,VANI-1,"1.3",2.3,(QUAL),,,,Soverdi,true,true
"3",,VANI-1,"3",3.5,(BEPA),,,,Soverdi,true,true
"4",,VANI-1,"1.2",2.1,(ACPE),,,,Soverdi,true,true
"5",,VANI-1,"2.1",2.7,(CEOC),,,,Soverdi,true,true
"6",,VANI-1,"1.9",2.25,(ACRU),,,,Soverdi,true,true
"7",,VANI-1,"1.6",2.7,(PODE),,,,Soverdi,true,true
"8",,VANI-1,"2.7",3,(CAOV),,,,Soverdi,true,true
"9",,VANI-1,"1.7",3.1,(BEPA),,,,Soverdi,true,true
"10",,VANI-1,"1.3",2.28,(ACRU),Sick leaves,,,Soverdi,true,true
"11",,VANI-1,"1.3",2.5,(PRVI),,,,Soverdi,true,true
"12",,VANI-1,"1",2.04,(Pine sp),Prickly!,,,Soverdi,true,false
"13",,VANI-1,"1.5",2.7,(PRVI),,,,Soverdi,true,true
"14",,VANI-1,"1.9",2.4,(CEOC),,,,Soverdi,true,true
"15",,VANI-1,"2.3",3.2,(BEPA),,,,Soverdi,true,true
"16",,VANI-1,"1.5",2.04,(Pine sp),,,,Soverdi,true,true
"17",,VANI-1,"1",2,Sorbus aucuparia,Unhealthy leaves,,,Soverdi,,
"18",,VANI-1,"2.9",2.7,(PRSE),,,,Soverdi,true,true
"19",,VANI-1,"1.8",2.6,(PODE),,,,Soverdi,true,true
"20",,VANI-1,"1.9",2.9,(PODE),,,,Soverdi,true,true
"21",,VANI-1,"1",2.74,Sorbus aucuparia,Sad leaves,,,Soverdi,true,true
"22",,VANI-1,"1.2",2,(QUAL),,,,Soverdi,true,true
"23",,VANI-1,"1.4",2.16,(CEOC),,,,Soverdi,true,true
"24",,VANI-1,"1.5",2.6,(PRVI),,,,Soverdi,true,true
"25",,VANI-1,"1.6,1",2.98,(PODE),,,,Soverdi,true,true
"26",,VANI-1,"2.7",3.1,(PRSE),,,,Soverdi,true,true
"27",,VANI-1,"1",2.1,Sorbus aucuparia,,,,Soverdi,true,true
"28",,VANI-1,"1",2.1,Sorbus aucuparia,,,,Soverdi,true,true
"29",,VANI-1,"1.4",2.64,(PODE),,,,Soverdi,true,true
"30",,VANI-1,"2.2",3.2,(BEPA),,,,Soverdi,true,true
"31",,VANI-1,"1.8",3,(PRVI),,,,Soverdi,true,true
"32",,VANI-1,"1.5",2.66,(CEOC),,,,Soverdi,true,true
"33",,VANI-1,"1.7",2.08,(ACRU),,,,Soverdi,true,true
"34",,VANI-1,"2.2",2.5,(CAOV),,,,Soverdi,true,true
"35",,VANI-1,"1.5,1,0.5,0.5",2.94,(PODE),,,,Soverdi,,
"36",,VANI-1,"1,0.5",2.16,Sorbus aucuparia,,,,Soverdi,true,true
"37",,VANI-1,"1.9",3.04,(PRVI),,,,Soverdi,true,true
"38",,VANI-1,"1.2",2.4,(ACPE),,,,Soverdi,true,true
"39",,VANI-1,"2.1",3.4,(BEPA),,,,Soverdi,true,true
"40",,VANI-1,"1.5",2.05,(PIBA),,,,Soverdi,true,true
"41",,VANI-1,"2.2",3,(Prunes sp),,,,Soverdi,true,true
"42",,VANI-1,"1.8",2.74,(CEOC),,,,Soverdi,true,true
"43",,VANI-1,"1.4",2.06,(CACA),,,,Soverdi,true,true
"44",,VANI-1,"1",2.26,Sorbus aucuparia,Sad leaves,,,Soverdi,true,true
"45",,VANI-1,"1.9",2,(QUBI),,,,Soverdi,true,true
"46",,VANI-1,"2.5",3.4,(BEPA),Sad leaves,,,Soverdi,true,true
"47",,VANI-1,"1.9",3.02,(PRVI),,,,Soverdi,true,true
"48",,VANI-1,"1.3",2.06,(QUAL),,,,Soverdi,true,true
"49",,VANI-1,"1.7",3.2,(PRVI),,,,Soverdi,true,true
"50",,VANI-1,"1.2",2.2,(ACPE),,,,Soverdi,true,true
"51",,VANI-1,"2.5,0.7",3.04,(BEPA),,,,Soverdi,true,true
"52",,VANI-1,"1.7",2.64,(PRVI),,,,Soverdi,true,true
"53",,VANI-1,"4.2",5,(PODE),,,,Soverdi,true,true
"54",,VANI-1,"1",2.2,Sorbus aucuparia,,,,Soverdi,true,true
"55",,VANI-1,"2.3",3.1,(CEOC),,,,Soverdi,true,true
"56",,VANI-1,"2.7,0.5,0.7",3.9,(BEPA),,,,Soverdi,true,true
"57",,VANI-1,"1.5",2.85,(PRVI),,,,Soverdi,true,true
"58",,VANI-1,"3.7,1,1,1",5,(PODE),,,,Soverdi,true,true
"59",,VANI-1,"1",2,(PIBA),,,,Soverdi,true,true
"60",,VANI-1,"3.6",5,(PODE),,,,Soverdi,true,true
"61",,VANI-1,"1.6, 1, 0.7, 0.7",2.2,(ACRU),,,,Soverdi,,
"62",,VANI-1,"1",2.38,(QUBI),,,,Soverdi,true,true
"63",,VANI-1,"1",2.16,(PIBA),,,,Soverdi,true,true
"64",,VANI-1,"0.5,0.7,0.7",2.15,Sorbus aucuparia,,,,Soverdi,true,true
"65",,VANI-1,"2.5",2.45,(CAOV),,,,Soverdi,true,true
"66",,VANI-1,"1.8",2.4,(CAOV),,,,Soverdi,true,true
"67",,VANI-1,"1.65",3.04,(PRVI),,,,Soverdi,true,true
"68",,VANI-1,"3.3,1,1,1",4.3,(PODE),,,,Soverdi,true,true
"69",,VANI-1,"1.1, 0.7,0.7,0.5",2.04,(ACRU),Sad leaves ,,,Soverdi,true,true
"70",,VANI-1,"1.3",2.3,(QUBI),,,,Soverdi,true,true
"71",,VANI-1,"3.4,0.5,0.5,1.3",4.8,(PODE),,,,Soverdi,true,true
"72",,VANI-1,"1.3",2.08,(ACPE),,,,Soverdi,true,true
"73",,VANI-1,"2.4",3.04,(BEPA),Sad leaves,,,Soverdi,true,true
"74",,VANI-1,"1",2.2,(ACPE),,,,Soverdi,true,true
"75",,VANI-1,"1",2.5,Sorbus aucuparia,,,,Soverdi,true,true
"76",,VANI-1,"3,1.3,1.3,0.8,1,1",5,(PODE),,,,Soverdi,true,true
"77",,VANI-1,"2.6",3.04,(PRSE),,,,Soverdi,true,true
"78",,VANI-1,"1.5",2.3,(CEOC),,,,Soverdi,true,true
"79",,VANI-1,"1.8",2.28,(ACRU),,,,Soverdi,true,true
"80",,VANI-1,"1.6,0.9,0.9",2.55,(CEOC),,,,Soverdi,true,true
"81",,VANI-1,"2.5,1.3,1.3,1,1",3.2,(BEPA),,,,Soverdi,true,true
"82",,VANI-1,"0.8,0.4",2.1,Sorbus aucuparia,,,,Soverdi,true,true
"83",,VANI-1,"2.5",3.05,(BEPA),,,,Soverdi,,
"84",,VANI-1,"2.65",2.75,(PRSE),,,,Soverdi,true,true
"85",,VANI-1,"0.8",2.02,(OSVI),,,,Soverdi,true,true
"86",,VANI-1,"1.4",2.15,(ACRU),,,,Soverdi,true,true
"87",,VANI-1,"0.8",2.05,(CACA),,,,Soverdi,true,true
"88",,VANI-1,"2.2",2.7,(CEOC),,,,Soverdi,true,true
"89",,LOYO-2,"78.5",34.2,Acer saccharinum,City tree (?),,,Unknown,true,true
"90",,LOYO-2,"10.5",5.8,(Ulmus pumila ),Not in city inventory,,,Unknown,true,true
"91",,LOYO-2,"10",4.5,Acer negundo,,,,Unknown,false,false
"92",,LOYO-2,,,Acer negundo,Estimated DBH but not height ,,,Unknown,true,false
"94",,LOYO-1,"5",2,(Celtics occidentalis),,,,Soverdi,true,true
"95",,LOYO-1,"8.1, 2.6",5.7,(Populous deltoides),,,,Soverdi,true,true
"96",,LOYO-1,"3",2,Quercus rubra,,,,Soverdi,true,true
"99",,LOYO-1,"1.5,1.5",2.2,Gymnocladus dioicus,,,,Soverdi,true,true
"100",,LOYO-1,"1.2",2.98,(Betula allegheniensis),,,,Soverdi,true,true
"101",,LOYO-1,"2.5",2.9,(Sugar maple),,,,Soverdi,true,true
"102",,LOYO-1,"1.4,1",3.1,Amelanchier canadensis,,,,Soverdi,true,true
"103",,LOYO-1,"1.2,1.2",2.64,(Cretagus crus-galli ),,,,Soverdi,true,true
"104",,LOYO-1,"1.3",2.8,Tilia americana,Looking bad,,,Soverdi,true,true
"105",,LOYO-1,"1.1",2.3,Quercus bicolor,,,,Soverdi,true,true
"106",,LOYO-1,"1.2",2.6,Ostrya virginiana,,,,Soverdi,true,true
"107",,LOYO-1,"1.2",2.56,Sorbus americana,,,,Soverdi,true,true
"108",,LOYO-1,"0.6",2.1,Ulmus americana,,,,Soverdi,true,true
"109",,LOYO-1,"2.3",2.9,Amelanchier canadensis,,,,Soverdi,true,true
"110",,LOYO-1,"2.3",2.4,Carpinus caroliniana,,,,Soverdi,true,true
"111",,LOYO-1,"1.2",2.5,(Striped maple),,,,Soverdi,true,true
"112",,LOYO-1,"2.3",3.1,(Sugar maple),,,,Soverdi,true,true
"113",,LOYO-1,"2.1",3.1,Carpinus caroliniana,,,,Soverdi,true,true
"114",,LOYO-1,"2.3",3.1,Quercus rubra,,,,Soverdi,true,true
"115",,LOYO-1,"2.1",2.8,(Sugar maple),Looks bad,,,Soverdi,true,true
"116",,LOYO-1,"1.1",2.4,Crataegus crus-galli,,,,Soverdi,true,true
"117",,LOYO-1,"1.4",2.5,Sorbus americana,Very bad,,,Soverdi,true,true
"118",,LOYO-1,"1.3",2.45,Tilia americana,,,,Soverdi,true,true
"119",,LOYO-1,"1.2",2.1,(Carya cordiformis ),,,,Soverdi,true,true
"120",,LOYO-1,"1.0",2.7,(Betulah alleghensis ),,,,Soverdi,true,true
