"","species_common_name"
"1","Ring-billed Gull"
"2","European Starling"
"3","Yellow Warbler"
"4","Warbling Vireo"
"5","Least Flycatcher"
"6","Cedar Waxwing"
"7","Red-eyed Vireo"
"8","Killdeer"
"9","Red-winged Blackbird"
"10","American Crow"
"11","Brown Creeper"
"12","Black-capped Chickadee"
"13","Baltimore Oriole"
"14","American Robin"
"15","Northern Cardinal"
"16","Eastern Wood-Pewee"
"17","Canada Goose"
"18","Chimney Swift"
"19","Chipping Sparrow"
"20","American Redstart"
"21","American Goldfinch"
"22","Brown-headed Cowbird"
"23","Merlin"
"24","Chestnut-sided Warbler"
"25","Canada Warbler"
"26","Song Sparrow"
"27","Magnolia Warbler"
"28","Eastern Kingbird"
"29","Common Grackle"
"30","White-breasted Nuthatch"
"31","Indigo Bunting"
"32","Downy Woodpecker"
"33","Northern Flicker"
"34","Golden-crowned Kinglet"
"35","House Finch"
"36","Eastern Bluebird"
"37","Great Crested Flycatcher"
"38","Hairy Woodpecker"
"39","Red-breasted Nuthatch"
"40","Gray Catbird"
"41","Brown Thrasher"
"42","Common Raven"
"43","House Sparrow"
"44","Black-and-white Warbler"
"45","Blue Jay"
"46","Nashville Warbler"
"47","White-crowned Sparrow"
"48","Bay-breasted Warbler"
"49","Mourning Dove"
"50","Purple Martin"
"51","Tennessee Warbler"
"52","Yellow-rumped Warbler"
"53","Rose-breasted Grosbeak"
"54","Northern House Wren"
"55","Red-shouldered Hawk"
"56","Common Yellowthroat"
"57","Cape May Warbler"
"58","Purple Finch"
"59","Blue-headed Vireo"
"60","Eastern Meadowlark"
"61","American Kestrel"
"62","Dark-eyed Junco"
"63","Black-throated Green Warbler"
"64","Yellow-bellied Flycatcher"
"65","Common Nighthawk"
"66","Evening Grosbeak"
"67","Winter Wren"
"68","Swainson's Thrush"
"69","Pine Siskin"
"70","White-throated Sparrow"
"71","Mallard"
"72","Barn Swallow"
"73","Blackpoll Warbler"
"74","Rock Pigeon"
"75","Scarlet Tanager"
"76","Ovenbird"
"77","Blackburnian Warbler"
"78","Northern Rough-winged Swallow"
"79","Eastern Phoebe"
"80","Pileated Woodpecker"
"81","Philadelphia Vireo"
"82","Common Tern"
"83","Wood Thrush"
