"","species_common_name","FR_common"
"1","Golden-crowned Kinglet","Roitelet à couronne dorée"
"2","Yellow Warbler","Paruline jaune"
"3","Cedar Waxwing","Jaseur d'Amérique"
"4","Warbling Vireo","Viréo mélodieux"
"5","Ring-billed Gull","Goéland à bec cerclé"
"6","Red-eyed Vireo","Viréo aux yeux rouges"
"7","House Finch","Roselin familier"
"8","European Starling","Étourneau sansonnet"
"9","Canada Goose","Bernache du Canada"
"10","American Redstart","Paruline flamboyante"
"11","American Robin","Merle d'Amérique"
"12","Song Sparrow","Bruant chanteur"
"13","Chipping Sparrow","Bruant familier"
"14","Common Grackle","Quiscale bronzé"
"15","Red-winged Blackbird","Carouge à épaulettes"
"16","Northern Flicker","Pic flamboyant"
"17","Merlin","Faucon émerillon"
"18","Northern Cardinal","Cardinal rouge"
"19","Eastern Bluebird","Merlebleu de l'Est"
"20","Magnolia Warbler","Paruline à tête cendrée"
"21","American Crow","Corneille d'Amérique"
"22","Great Crested Flycatcher","Tyran huppé"
"23","Chestnut-sided Warbler","Paruline à flancs marron"
"24","Chimney Swift","Martinet ramoneur"
"25","American Goldfinch","Chardonneret jaune"
"26","Hairy Woodpecker","Pic chevelu"
"27","Baltimore Oriole","Oriole de Baltimore"
"28","Red-breasted Nuthatch","Sittelle à poitrine rousse"
"29","Gray Catbird","Moqueur chat"
"30","Downy Woodpecker","Pic mineur"
"31","White-breasted Nuthatch","Sittelle à poitrine blanche"
"32","Brown Thrasher","Moqueur roux"
"33","Common Raven","Grand corbeau"
"34","Black-capped Chickadee","Mésange à tête noire"
"35","House Sparrow","Moineau domestique"
"36","Eastern Kingbird","Tyran tritri"
"37","Black-and-white Warbler","Paruline noire et blanc"
