"","species_common_name","FR_common"
"1","Northern Cardinal","Cardinal rouge"
"2","American Crow","Corneille d'Amérique"
"3","House Sparrow","Moineau domestique"
"4","American Robin","Merle d'Amérique"
"5","Gray Catbird","Moqueur chat"
"6","Chimney Swift","Martinet ramoneur"
"7","House Finch","Roselin familier"
"8","Red-eyed Vireo","Viréo aux yeux rouges"
"9","Cedar Waxwing","Jaseur d'Amérique"
"10","Chipping Sparrow","Bruant familier"
"11","Blue Jay","Geai bleu"
"12","Eastern Wood-Pewee","Pioui de l'est"
"13","Song Sparrow","Bruant chanteur"
"14","Yellow Warbler","Paruline jaune"
"15","European Starling","Étourneau sansonnet"
"16","Eastern Bluebird","Merlebleu de l'Est"
"17","Red-winged Blackbird","Carouge à épaulettes"
"18","Nashville Warbler","Paruline à joeus grises"
"19","American Goldfinch","Chardonneret jaune"
"20","Canada Goose","Bernache du Canada"
"21","Common Raven","Grand corbeau"
"22","Downy Woodpecker","Pic mineur"
"23","Red-breasted Nuthatch","Sittelle à poitrine rousse"
"24","Common Grackle","Quiscale bronzé"
"25","White-crowned Sparrow","Bruant à couronne blanche"
"26","Baltimore Oriole","Oriole de Baltimore"
"27","Magnolia Warbler","Paruline à tête cendrée"
"28","Warbling Vireo","Viréo mélodieux"
"29","Bay-breasted Warbler","Paruline à poitrine baie"
"30","Mourning Dove","Tourterelle triste"
"31","Purple Martin","Hirondelle noire"
"32","Chestnut-sided Warbler","Paruline à flancs marron"
"33","Ring-billed Gull","Goéland à bec cerclé"
"34","Black-capped Chickadee","Mésange à tête noire"
"35","Tennessee Warbler","Paruline obscure"
"36","Brown Creeper","Grimpereau brun"
"37","Hairy Woodpecker","Pic chevelu"
