"","species_common_name","FR_common"
"1","Warbling Vireo","Viréo mélodieux"
"2","Yellow-rumped Warbler","Paruline à croupion jaune"
"3","Great Crested Flycatcher","Tyran huppé"
"4","Ring-billed Gull","Goéland à bec cerclé"
"5","Rose-breasted Grosbeak","Cardinal à poitrine rose"
"6","Red-winged Blackbird","Carouge à épaulettes"
"7","American Robin","Merle d'Amérique"
"8","European Starling","Étourneau sansonnet"
"9","Song Sparrow","Bruant chanteur"
"10","Chipping Sparrow","Bruant familier"
"11","Northern House Wren","Troglodyte à gorge brune"
"12","American Goldfinch","Chardonneret jaune"
"13","Gray Catbird","Moqueur chat"
"14","Yellow Warbler","Paruline jaune"
"15","Red-eyed Vireo","Viréo aux yeux rouges"
"16","Northern Cardinal","Cardinal rouge"
"17","Red-shouldered Hawk","Buse à épaulettes"
"18","Chestnut-sided Warbler","Paruline à flancs marron"
"19","Northern Flicker","Pic flamboyant"
"20","Chimney Swift","Martinet ramoneur"
"21","Common Raven","Grand corbeau"
"22","Cedar Waxwing","Jaseur d'Amérique"
"23","American Crow","Corneille d'Amérique"
"24","Black-capped Chickadee","Mésange à tête noire"
"25","American Redstart","Paruline flamboyante"
"26","Common Yellowthroat","Paruline masquée"
"27","Cape May Warbler","Paruline tigrée"
"28","Downy Woodpecker","Pic mineur"
"29","Purple Finch","Roselin pourpré"
"30","Blue Jay","Geai bleu"
"31","Killdeer","Pluvier kildir"
"32","Common Grackle","Quiscale bronzé"
