"","species_common_name","FR_common"
"1","Common Yellowthroat","Paruline masquée"
"2","European Starling","Étourneau sansonnet"
"3","Red-winged Blackbird","Carouge à épaulettes"
"4","Chipping Sparrow","Bruant familier"
"5","Song Sparrow","Bruant chanteur"
"6","Ring-billed Gull","Goéland à bec cerclé"
"7","Gray Catbird","Moqueur chat"
"8","Chimney Swift","Martinet ramoneur"
"9","American Crow","Corneille d'Amérique"
"10","Northern Cardinal","Cardinal rouge"
"11","American Goldfinch","Chardonneret jaune"
"12","American Robin","Merle d'Amérique"
"13","Northern House Wren","Troglodyte à gorge brune"
"14","Great Crested Flycatcher","Tyran huppé"
"15","Cedar Waxwing","Jaseur d'Amérique"
"16","Baltimore Oriole","Oriole de Baltimore"
"17","Eastern Meadowlark","Sturnelle des prés"
"18","Black-capped Chickadee","Mésange à tête noire"
"19","Red-eyed Vireo","Viréo aux yeux rouges"
"20","House Finch","Roselin familier"
"21","Chestnut-sided Warbler","Paruline à flancs marron"
"22","Yellow Warbler","Paruline jaune"
"23","House Sparrow","Moineau domestique"
"24","Common Grackle","Quiscale bronzé"
"25","Magnolia Warbler","Paruline à tête cendrée"
"26","Warbling Vireo","Viréo mélodieux"
"27","Indigo Bunting","Passerin indigo"
"28","American Kestrel","Crécerelle d'Amérique"
"29","Blue Jay","Geai bleu"
"30","Merlin","Faucon émerillon"
"31","Dark-eyed Junco","Junco ardoisé"
"32","Downy Woodpecker","Pic mineur"
"33","Tennessee Warbler","Paruline obscure"
