"","species_common_name","FR_common"
"1","Gray Catbird","Moqueur chat"
"2","Chipping Sparrow","Bruant familier"
"3","American Robin","Merle d'Amérique"
"4","Tennessee Warbler","Paruline obscure"
"5","Baltimore Oriole","Oriole de Baltimore"
"6","Common Grackle","Quiscale bronzé"
"7","Bay-breasted Warbler","Paruline à poitrine baie"
"8","Northern Cardinal","Cardinal rouge"
"9","Magnolia Warbler","Paruline à tête cendrée"
"10","Eastern Kingbird","Tyran tritri"
"11","Red-eyed Vireo","Viréo aux yeux rouges"
"12","Song Sparrow","Bruant chanteur"
"13","House Sparrow","Moineau domestique"
"14","American Goldfinch","Chardonneret jaune"
"15","Chimney Swift","Martinet ramoneur"
"16","House Finch","Roselin familier"
"17","Ring-billed Gull","Goéland à bec cerclé"
"18","Canada Goose","Bernache du Canada"
"19","European Starling","Étourneau sansonnet"
"20","Blue Jay","Geai bleu"
"21","Warbling Vireo","Viréo mélodieux"
"22","Great Crested Flycatcher","Tyran huppé"
"23","Yellow Warbler","Paruline jaune"
"24","American Redstart","Paruline flamboyante"
"25","American Crow","Corneille d'Amérique"
"26","Red-winged Blackbird","Carouge à épaulettes"
"27","Winter Wren","Troglodyte des forêts"
"28","Downy Woodpecker","Pic mineur"
"29","Swainson's Thrush","Grive à dos olive"
"30","Cedar Waxwing","Jaseur d'Amérique"
"31","Purple Finch","Roselin pourpré"
"32","Black-capped Chickadee","Mésange à tête noire"
