"","species_common_name","FR_common"
"1","House Finch","Roselin familier"
"2","House Sparrow","Moineau domestique"
"3","Chimney Swift","Martinet ramoneur"
"4","American Robin","Merle d'Amérique"
"5","Dark-eyed Junco","Junco ardoisé"
"6","Black-capped Chickadee","Mésange à tête noire"
"7","Red-winged Blackbird","Carouge à épaulettes"
"8","Yellow Warbler","Paruline jaune"
"9","European Starling","Étourneau sansonnet"
"10","Warbling Vireo","Viréo mélodieux"
"11","Ring-billed Gull","Goéland à bec cerclé"
"12","American Goldfinch","Chardonneret jaune"
"13","Blackpoll Warbler","Paruline rayée"
"14","Chipping Sparrow","Bruant familier"
"15","Bay-breasted Warbler","Paruline à poitrine baie"
"16","Tennessee Warbler","Paruline obscure"
"17","Merlin","Faucon émerillon"
"18","Song Sparrow","Bruant chanteur"
"19","Blue Jay","Geai bleu"
"20","Northern Cardinal","Cardinal rouge"
"21","American Crow","Corneille d'Amérique"
"22","Rock Pigeon","Pigeon biset"
"23","Common Grackle","Quiscale bronzé"
"24","Mallard","Canard colvert"
"25","Red-eyed Vireo","Viréo aux yeux rouges"
"26","Cedar Waxwing","Jaseur d'Amérique"
"27","Canada Goose","Bernache du Canada"
"28","Downy Woodpecker","Pic mineur"
"29","Common Raven","Grand corbeau"
"30","Red-breasted Nuthatch","Sittelle à poitrine rousse"
