"","species_common_name","FR_common"
"1","Yellow Warbler","Paruline jaune"
"2","Gray Catbird","Moqueur chat"
"3","House Finch","Roselin familier"
"4","Ring-billed Gull","Goéland à bec cerclé"
"5","Cedar Waxwing","Jaseur d'Amérique"
"6","Chipping Sparrow","Bruant familier"
"7","Killdeer","Pluvier kildir"
"8","Black-capped Chickadee","Mésange à tête noire"
"9","European Starling","Étourneau sansonnet"
"10","American Robin","Merle d'Amérique"
"11","Common Grackle","Quiscale bronzé"
"12","Chimney Swift","Martinet ramoneur"
"13","Eastern Kingbird","Tyran tritri"
"14","American Goldfinch","Chardonneret jaune"
"15","Song Sparrow","Bruant chanteur"
"16","Northern Cardinal","Cardinal rouge"
"17","House Sparrow","Moineau domestique"
"18","Northern Flicker","Pic flamboyant"
"19","Common Raven","Grand corbeau"
"20","American Crow","Corneille d'Amérique"
"21","Dark-eyed Junco","Junco ardoisé"
"22","Red-winged Blackbird","Carouge à épaulettes"
"23","Eastern Bluebird","Merlebleu de l'Est"
"24","American Redstart","Paruline flamboyante"
