"","species_common_name","FR_common"
"1","Black-capped Chickadee","Mésange à tête noire"
"2","Chimney Swift","Martinet ramoneur"
"3","Eastern Kingbird","Tyran tritri"
"4","House Finch","Roselin familier"
"5","Northern Cardinal","Cardinal rouge"
"6","Yellow Warbler","Paruline jaune"
"7","Magnolia Warbler","Paruline à tête cendrée"
"8","Scarlet Tanager","Tangara écarlate ou Piranga écarlate"
"9","American Redstart","Paruline flamboyante"
"10","Eastern Bluebird","Merlebleu de l'Est"
"11","American Robin","Merle d'Amérique"
"12","Ovenbird","Paruline couronnée"
"13","Downy Woodpecker","Pic mineur"
"14","Bay-breasted Warbler","Paruline à poitrine baie"
"15","Blackpoll Warbler","Paruline rayée"
"16","House Sparrow","Moineau domestique"
"17","Tennessee Warbler","Paruline obscure"
"18","Warbling Vireo","Viréo mélodieux"
"19","Rose-breasted Grosbeak","Cardinal à poitrine rose"
"20","Red-eyed Vireo","Viréo aux yeux rouges"
"21","Yellow-bellied Flycatcher","Moucherolle à ventre jaune"
"22","European Starling","Étourneau sansonnet"
"23","Canada Goose","Bernache du Canada"
"24","American Crow","Corneille d'Amérique"
"25","Cedar Waxwing","Jaseur d'Amérique"
"26","Red-winged Blackbird","Carouge à épaulettes"
"27","Blackburnian Warbler","Paruline à gorge orangée"
"28","American Goldfinch","Chardonneret jaune"
"29","Chipping Sparrow","Bruant familier"
"30","Ring-billed Gull","Goéland à bec cerclé"
"31","Eastern Wood-Pewee","Pioui de l'est"
"32","Nashville Warbler","Paruline à joeus grises"
"33","Dark-eyed Junco","Junco ardoisé"
"34","Common Raven","Grand corbeau"
"35","Common Grackle","Quiscale bronzé"
"36","Song Sparrow","Bruant chanteur"
"37","Red-breasted Nuthatch","Sittelle à poitrine rousse"
