"","species_common_name","FR_common"
"1","Canada Goose","Bernache du Canada"
"2","Pine Siskin","Tarin des pins"
"3","Eastern Bluebird","Merlebleu de l'Est"
"4","House Sparrow","Moineau domestique"
"5","Chipping Sparrow","Bruant familier"
"6","House Finch","Roselin familier"
"7","American Robin","Merle d'Amérique"
"8","Dark-eyed Junco","Junco ardoisé"
"9","European Starling","Étourneau sansonnet"
"10","Ring-billed Gull","Goéland à bec cerclé"
"11","Yellow Warbler","Paruline jaune"
"12","Warbling Vireo","Viréo mélodieux"
"13","Cedar Waxwing","Jaseur d'Amérique"
"14","American Crow","Corneille d'Amérique"
"15","Downy Woodpecker","Pic mineur"
"16","American Redstart","Paruline flamboyante"
"17","Song Sparrow","Bruant chanteur"
"18","American Goldfinch","Chardonneret jaune"
"19","Common Grackle","Quiscale bronzé"
"20","Northern Cardinal","Cardinal rouge"
"21","Red-eyed Vireo","Viréo aux yeux rouges"
"22","Blue Jay","Geai bleu"
"23","Baltimore Oriole","Oriole de Baltimore"
"24","Chimney Swift","Martinet ramoneur"
"25","Merlin","Faucon émerillon"
"26","Black-capped Chickadee","Mésange à tête noire"
