"","species_common_name","FR_common"
"1","Black-capped Chickadee","Mésange à tête noire"
"2","Indigo Bunting","Passerin indigo"
"3","Canada Warbler","Paruline du Canada"
"4","Red-eyed Vireo","Viréo aux yeux rouges"
"5","Common Raven","Grand corbeau"
"6","Great Crested Flycatcher","Tyran huppé"
"7","Cedar Waxwing","Jaseur d'Amérique"
"8","American Redstart","Paruline flamboyante"
"9","Northern Cardinal","Cardinal rouge"
"10","Red-winged Blackbird","Carouge à épaulettes"
"11","Dark-eyed Junco","Junco ardoisé"
"12","American Crow","Corneille d'Amérique"
"13","American Robin","Merle d'Amérique"
"14","American Goldfinch","Chardonneret jaune"
"15","Chipping Sparrow","Bruant familier"
"16","Chimney Swift","Martinet ramoneur"
"17","Pine Siskin","Tarin des pins"
"18","Golden-crowned Kinglet","Roitelet à couronne dorée"
"19","Northern Flicker","Pic flamboyant"
"20","Ring-billed Gull","Goéland à bec cerclé"
"21","Red-breasted Nuthatch","Sittelle à poitrine rousse"
"22","Eastern Wood-Pewee","Pioui de l'est"
"23","Eastern Bluebird","Merlebleu de l'Est"
"24","White-throated Sparrow","Bruant à gorge blanche"
"25","Eastern Phoebe","Moucherolle phébi"
