"","species_common_name","FR_common"
"1","Black-capped Chickadee","Mésange à tête noire"
"2","Chipping Sparrow","Bruant familier"
"3","European Starling","Étourneau sansonnet"
"4","American Goldfinch","Chardonneret jaune"
"5","Chimney Swift","Martinet ramoneur"
"6","Red-eyed Vireo","Viréo aux yeux rouges"
"7","American Robin","Merle d'Amérique"
"8","Ring-billed Gull","Goéland à bec cerclé"
"9","House Sparrow","Moineau domestique"
"10","Common Grackle","Quiscale bronzé"
"11","Cedar Waxwing","Jaseur d'Amérique"
"12","American Crow","Corneille d'Amérique"
"13","Eastern Bluebird","Merlebleu de l'Est"
"14","Eastern Wood-Pewee","Pioui de l'est"
"15","Northern Cardinal","Cardinal rouge"
