"","species_common_name","FR_common"
"1","American Robin","Merle d'Amérique"
"2","Song Sparrow","Bruant chanteur"
"3","Killdeer","Pluvier kildir"
"4","Warbling Vireo","Viréo mélodieux"
"5","American Goldfinch","Chardonneret jaune"
"6","Gray Catbird","Moqueur chat"
"7","Blue Jay","Geai bleu"
"8","Red-eyed Vireo","Viréo aux yeux rouges"
"9","Common Yellowthroat","Paruline masquée"
"10","House Sparrow","Moineau domestique"
"11","Chipping Sparrow","Bruant familier"
"12","American Redstart","Paruline flamboyante"
"13","Least Flycatcher","Moucherolle tchébec"
"14","Magnolia Warbler","Paruline à tête cendrée"
"15","Northern Cardinal","Cardinal rouge"
"16","Swainson's Thrush","Grive à dos olive"
"17","Canada Goose","Bernache du Canada"
"18","Ring-billed Gull","Goéland à bec cerclé"
"19","Blackburnian Warbler","Paruline à gorge orangée"
"20","Tennessee Warbler","Paruline obscure"
"21","Yellow-rumped Warbler","Paruline à croupion jaune"
"22","Nashville Warbler","Paruline à joeus grises"
"23","Yellow Warbler","Paruline jaune"
"24","Indigo Bunting","Passerin indigo"
"25","European Starling","Étourneau sansonnet"
"26","Yellow-bellied Flycatcher","Moucherolle à ventre jaune"
"27","Canada Warbler","Paruline du Canada"
"28","House Finch","Roselin familier"
"29","Baltimore Oriole","Oriole de Baltimore"
"30","Pine Siskin","Tarin des pins"
"31","Mallard","Canard colvert"
"32","Common Nighthawk","Engoulevent d'Amérique"
"33","Chimney Swift","Martinet ramoneur"
"34","Cedar Waxwing","Jaseur d'Amérique"
"35","Common Grackle","Quiscale bronzé"
"36","Common Raven","Grand corbeau"
"37","Purple Finch","Roselin pourpré"
"38","Golden-crowned Kinglet","Roitelet à couronne dorée"
"39","American Crow","Corneille d'Amérique"
"40","Blue-headed Vireo","Viréo à tête bleue"
"41","Black-capped Chickadee","Mésange à tête noire"
"42","Red-breasted Nuthatch","Sittelle à poitrine rousse"
