"","species_common_name","FR_common"
"1","Warbling Vireo","Viréo mélodieux"
"2","European Starling","Étourneau sansonnet"
"3","Canada Goose","Bernache du Canada"
"4","Eastern Kingbird","Tyran tritri"
"5","Eastern Bluebird","Merlebleu de l'Est"
"6","House Sparrow","Moineau domestique"
"7","Ring-billed Gull","Goéland à bec cerclé"
"8","Yellow Warbler","Paruline jaune"
"9","Black-capped Chickadee","Mésange à tête noire"
"10","Baltimore Oriole","Oriole de Baltimore"
"11","Song Sparrow","Bruant chanteur"
"12","American Crow","Corneille d'Amérique"
"13","Red-winged Blackbird","Carouge à épaulettes"
"14","Northern Flicker","Pic flamboyant"
"15","Chestnut-sided Warbler","Paruline à flancs marron"
"16","Hairy Woodpecker","Pic chevelu"
"17","Northern Cardinal","Cardinal rouge"
"18","Cedar Waxwing","Jaseur d'Amérique"
"19","Common Tern","Sterne pierregarin"
"20","Blue Jay","Geai bleu"
"21","Chipping Sparrow","Bruant familier"
"22","Red-breasted Nuthatch","Sittelle à poitrine rousse"
"23","Downy Woodpecker","Pic mineur"
"24","Magnolia Warbler","Paruline à tête cendrée"
"25","Common Grackle","Quiscale bronzé"
"26","American Robin","Merle d'Amérique"
"27","American Redstart","Paruline flamboyante"
"28","American Goldfinch","Chardonneret jaune"
"29","Red-eyed Vireo","Viréo aux yeux rouges"
"30","Gray Catbird","Moqueur chat"
