"","location","recording_date_time","species_code","species_common_name","tag_rating"
"1","DOUG-1","2025-06-03 04:38:00","RBGU","Ring-billed Gull",NA
"2","DOUG-1","2025-06-03 05:38:00","EUST","European Starling",5
"3","DOUG-1","2025-06-04 05:38:00","YEWA","Yellow Warbler",NA
"4","DOUG-1","2025-06-04 05:38:00","RBGU","Ring-billed Gull",NA
"5","DOUG-1","2025-06-04 05:38:00","WAVI","Warbling Vireo",5
"6","DOUG-1","2025-06-04 08:38:00","EUST","European Starling",5
"7","DOUG-1","2025-06-05 05:37:00","YEWA","Yellow Warbler",5
"8","DOUG-1","2025-06-05 06:37:00","LEFL","Least Flycatcher",5
"9","DOUG-1","2025-06-05 07:37:00","LEFL","Least Flycatcher",NA
"10","DOUG-1","2025-06-06 06:37:00","CEDW","Cedar Waxwing",NA
"11","DOUG-1","2025-06-06 06:37:00","YEWA","Yellow Warbler",5
"12","DOUG-1","2025-06-06 07:37:00","REVI","Red-eyed Vireo",NA
"13","DOUG-1","2025-06-07 05:36:00","REVI","Red-eyed Vireo",5
"14","DOUG-1","2025-06-07 05:36:00","KILL","Killdeer",5
"15","DOUG-1","2025-06-07 06:36:00","RBGU","Ring-billed Gull",NA
"16","DOUG-1","2025-06-08 06:36:00","RWBL","Red-winged Blackbird",NA
"17","DOUG-1","2025-06-08 06:36:00","AMCR","American Crow",NA
"18","DOUG-1","2025-06-09 04:36:00","BRCR","Brown Creeper",NA
"19","DOUG-1","2025-06-09 05:36:00","BCCH","Black-capped Chickadee",NA
"20","DOUG-1","2025-06-09 05:36:00","EUST","European Starling",5
"21","DOUG-1","2025-06-10 07:36:00","BAOR","Baltimore Oriole",5
"22","DOUG-1","2025-06-11 07:36:00","AMCR","American Crow",NA
"23","DOUG-1","2025-06-11 08:36:00","BAOR","Baltimore Oriole",5
"24","DOUG-1","2025-06-12 06:35:00","AMRO","American Robin",NA
"25","DOUG-1","2025-06-12 06:35:00","NOCA","Northern Cardinal",NA
"26","DOUG-1","2025-06-13 08:35:00","EAWP","Eastern Wood-Pewee",NA
"27","DOUG-1","2025-06-14 05:35:00","RWBL","Red-winged Blackbird",NA
"28","DOUG-1","2025-06-14 06:35:00","WAVI","Warbling Vireo",5
"29","DOUG-1","2025-06-15 05:35:00","CANG","Canada Goose",NA
"30","DOUG-1","2025-06-16 06:35:00","REVI","Red-eyed Vireo",NA
"31","DOUG-1","2025-06-16 06:35:00","RWBL","Red-winged Blackbird",NA
"32","DOUG-1","2025-06-17 07:35:00","CHSW","Chimney Swift",NA
"33","DOUG-1","2025-06-19 07:35:00","NOCA","Northern Cardinal",NA
"34","DOUG-1","2025-06-20 05:36:00","CHSW","Chimney Swift",NA
"35","DOUG-1","2025-06-21 05:36:00","CHSP","Chipping Sparrow",NA
"36","DOUG-1","2025-06-22 04:36:00","AMRO","American Robin",NA
"37","DOUG-1","2025-06-22 05:36:00","CHSW","Chimney Swift",5
"38","DOUG-1","2025-06-22 06:36:00","AMRE","American Redstart",5
"39","DOUG-1","2025-06-23 05:36:00","CEDW","Cedar Waxwing",NA
"40","DOUG-1","2025-06-23 06:36:00","AMRE","American Redstart",5
"41","DOUG-1","2025-06-23 07:36:00","AMGO","American Goldfinch",NA
"42","DOUG-1","2025-06-23 08:36:00","BHCO","Brown-headed Cowbird",NA
"43","DOUG-1","2025-06-24 05:37:00","BCCH","Black-capped Chickadee",NA
"44","DOUG-1","2025-06-25 07:37:00","CEDW","Cedar Waxwing",NA
"45","DOUG-1","2025-06-25 07:37:00","AMRE","American Redstart",5
"46","DOUG-1","2025-06-25 08:37:00","MERL","Merlin",5
"47","DOUG-1","2025-06-25 08:37:00","AMCR","American Crow",NA
"48","DOUG-1","2025-06-26 05:37:00","CSWA","Chestnut-sided Warbler",5
"49","DOUG-1","2025-06-27 04:38:00","AMRO","American Robin",NA
"50","DOUG-1","2025-06-27 06:38:00","CAWA","Canada Warbler",5
"51","DOUG-1","2025-06-28 04:38:00","CHSP","Chipping Sparrow",NA
"52","DOUG-1","2025-06-28 04:38:00","SOSP","Song Sparrow",NA
"53","DOUG-1","2025-06-28 08:38:00","BCCH","Black-capped Chickadee",NA
"54","DOUG-1","2025-06-29 07:39:00","MAWA","Magnolia Warbler",5
"55","DOUG-1","2025-06-29 07:39:00","EAKI","Eastern Kingbird",5
"56","DOUG-1","2025-06-30 08:39:00","AMGO","American Goldfinch",NA
"57","DOUG-1","2025-06-30 08:39:00","WAVI","Warbling Vireo",5
"58","DOUG-1","2025-07-03 04:41:00","SOSP","Song Sparrow",NA
"59","DOUG-1","2025-07-04 06:42:00","COGR","Common Grackle",5
"60","DOUG-1","2025-07-04 08:42:00","WBNU","White-breasted Nuthatch",5
"61","DOUG-1","2025-07-05 04:42:00","NOCA","Northern Cardinal",NA
"62","DOUG-1","2025-07-05 05:42:00","CHSP","Chipping Sparrow",NA
"63","DOUG-1","2025-07-05 05:42:00","AMGO","American Goldfinch",NA
"64","DOUG-1","2025-07-05 08:42:00","INBU","Indigo Bunting",5
"65","DOUG-1","2025-07-05 08:42:00","MERL","Merlin",5
